Modelo	Capacidad	Color	Precio final	Garantia	Chip	Tamaño Pantalla	RAM	Procesador	MARCA
13	128GB	A CONFIRMAR SEGUN STOCK	560	OFICIAL DE 12 MESES	-	-	-	-	Apple
14	128GB	A CONFIRMAR SEGUN STOCK	600	OFICIAL DE 12 MESES	-	-	-	-	Apple
15	128GB	A CONFIRMAR SEGUN STOCK	700	OFICIAL DE 12 MESES	-	-	-	-	Apple
15 PLUS	128GB	A CONFIRMAR SEGUN STOCK	800	OFICIAL DE 12 MESES	-	-	-	-	Apple
15 PLUS	512GB	A CONFIRMAR SEGUN STOCK	890	OFICIAL DE 12 MESES	-	-	-	-	Apple
16	128GB	A CONFIRMAR SEGUN STOCK	800	OFICIAL DE 12 MESES	-	-	-	-	Apple
16 PRO	128GB	A CONFIRMAR SEGUN STOCK	1050	OFICIAL DE 12 MESES	-	-	-	-	Apple
16 PRO MAX	256GB	A CONFIRMAR SEGUN STOCK	1300	OFICIAL DE 12 MESES	-	-	-	-	Apple
17	256GB	A CONFIRMAR SEGUN STOCK	920	OFICIAL DE 12 MESES	-	-	-	-	Apple
17 PRO	256GB	A CONFIRMAR SEGUN STOCK	1370	OFICIAL DE 12 MESES	-	-	-	-	Apple
17 PRO	512GB	A CONFIRMAR SEGUN STOCK	1570	OFICIAL DE 12 MESES	-	-	-	-	Apple
17 PRO	1TB	A CONFIRMAR SEGUN STOCK	1790	OFICIAL DE 12 MESES	-	-	-	-	Apple
17 PRO MAX	256GB	A CONFIRMAR SEGUN STOCK	1510	OFICIAL DE 12 MESES	-	-	-	-	Apple
17 PRO MAX	512GB	A CONFIRMAR SEGUN STOCK	1720	OFICIAL DE 12 MESES	-	-	-	-	Apple
17 PRO MAX	1TB	A CONFIRMAR SEGUN STOCK	1950	OFICIAL DE 12 MESES	-	-	-	-	Apple
17 PRO MAX	2TB	A CONFIRMAR SEGUN STOCK	2330	OFICIAL DE 12 MESES	-	-	-	-	Apple
NEO	256GB SSD	A CONFIRMAR SEGUN STOCK	870	OFICIAL DE 12 MESES	A18 PRO	13"	8GB RAM	-	Apple
NEO	512GB SSD	A CONFIRMAR SEGUN STOCK	980	OFICIAL DE 12 MESES	A18 PRO	13"	8GB RAM	-	Apple
AIR	256GB SSD	A CONFIRMAR SEGUN STOCK	1180	OFICIAL DE 12 MESES	M4	13"	16GB RAM	-	Apple
AIR	512GB SSD	A CONFIRMAR SEGUN STOCK	1450	OFICIAL DE 12 MESES	M4	13"	16GB RAM	-	Apple
AIR	256GB SSD	A CONFIRMAR SEGUN STOCK	1370	OFICIAL DE 12 MESES	M4	15"	16GB RAM	-	Apple
AIR	512GB SSD	A CONFIRMAR SEGUN STOCK	1580	OFICIAL DE 12 MESES	M4	15"	16GB RAM	-	Apple
AIR	512GB SSD	A CONFIRMAR SEGUN STOCK	1420	OFICIAL DE 12 MESES	M5	13"	16GB RAM	-	Apple
AIR	1TB SSD	A CONFIRMAR SEGUN STOCK	1630	OFICIAL DE 12 MESES	M5	13"	16GB RAM	-	Apple
AIR	1TB SSD	A CONFIRMAR SEGUN STOCK	1850	OFICIAL DE 12 MESES	M5	13"	24GB RAM	-	Apple
AIR	512GB SSD	A CONFIRMAR SEGUN STOCK	1650	OFICIAL DE 12 MESES	M5	15"	16GB RAM	-	Apple
AIR	1TB SSD	A CONFIRMAR SEGUN STOCK	1870	OFICIAL DE 12 MESES	M5	15"	16GB RAM	-	Apple
AIR	1TB SSD	A CONFIRMAR SEGUN STOCK	2000	OFICIAL DE 12 MESES	M5	15"	24GB RAM	-	Apple
PRO	512GB SSD	A CONFIRMAR SEGUN STOCK	1820	OFICIAL DE 12 MESES	M4	14"	16GB RAM	-	Apple
PRO	512GB SSD	A CONFIRMAR SEGUN STOCK	2250	OFICIAL DE 12 MESES	M4 PRO	14"	24GB RAM	-	Apple
PRO	512GB SSD	A CONFIRMAR SEGUN STOCK	2850	OFICIAL DE 12 MESES	M4	16"	24GB RAM	-	Apple
PRO	512GB SSD	A CONFIRMAR SEGUN STOCK	3290	OFICIAL DE 12 MESES	M4	16"	48GB RAM	-	Apple
PRO	512GB SSD	A CONFIRMAR SEGUN STOCK	1830	OFICIAL DE 12 MESES	M5	14"	16GB RAM	-	Apple
PRO	1TB SSD	A CONFIRMAR SEGUN STOCK	2050	OFICIAL DE 12 MESES	M5	14"	16GB RAM	-	Apple
PRO	1TB SSD	A CONFIRMAR SEGUN STOCK	2300	OFICIAL DE 12 MESES	M5	14"	24GB RAM	-	Apple
PRO	1TB SSD	A CONFIRMAR SEGUN STOCK	2670	OFICIAL DE 12 MESES	M5 PRO	14"	24GB RAM	-	Apple
