Producto	Modelo	Capacidad	RAM	Color	Precio final	Garantia	Marca
Parlante	🔊 Sony SRS - XB13	-	-	A CONFIRMAR SEGUN STOCK	U$D 60		Sony
Parlante	🔊 Sony SRS - XB13	-	-	A CONFIRMAR SEGUN STOCK	U$D 60		Sony
Parlante	🔊 Sony SRS - XB13	-	-	A CONFIRMAR SEGUN STOCK	U$D 70		Sony
Auriculares	🔊 Airpods 2da generacion	-	-	A CONFIRMAR SEGUN STOCK	U$D 50		Apple
Auriculares	🔊 Bose QuietComfort 360	-	-	A CONFIRMAR SEGUN STOCK	U$D 55		Bose
Auriculares	🔊 Bose QuietComfort 45II	-	-	A CONFIRMAR SEGUN STOCK	U$D 55		Bose
Auriculares	🔊 JBL Tune 900	-	-	A CONFIRMAR SEGUN STOCK	U$D 55		JBL
Auriculares	🔊 JBL RGB TUNE A8	-	-	A CONFIRMAR SEGUN STOCK	U$D 55		JBL
Parlante	🔊 JBL XTREME 4	-	-	Black, Blue	U$D 350		JBL
Parlante	🔊 JBL FLIP 7	-	-	Blue, Camuflado	U$D 195		JBL
Parlante	🔊 JBL CHARGE 5	-	-	Red, Teal	U$D 190		JBL
Parlante	🔊 JBL CHARGE 6	-	-	Black, Blue	U$D 230		JBL
Parlante	🔊 JBL BOOMBOX 3	-	-	Camuflado	U$D 500		JBL
Parlante	🔊 JBL BOOMBOX 3 WIFI	-	-	Black	U$D 540		JBL
Parlante	🔊 JBL PARTYBOX ESSENTIAL ENCORE 2	-	-	A CONFIRMAR SEGUN STOCK	U$D 400		JBL
Parlante	🔊 JBL SOUNDBAR 500 PRO	-	-	A CONFIRMAR SEGUN STOCK	U$D 550		JBL
Parlante	🔊 JBL AUTHENTICS 500	-	-	Black	U$D 710		JBL
Consolas	SONY PS5 Slim Digital Edition	1TB	-	A CONFIRMAR SEGUN STOCK	U$D 600		Sony
Consolas	SONY PS5 Slim Digital Edition "Fortnite Cobalt Star Bundle"	1TB	-	A CONFIRMAR SEGUN STOCK	U$D 615		Sony
Consolas	SONY PS5 Slim Digital "Call Of Duty: Black Ops 6 usa specs Bundle"	1TB	-	A CONFIRMAR SEGUN STOCK	U$D 615		Sony
Consolas	SONY PS5 Slim Lectora de CD	1TB	-	A CONFIRMAR SEGUN STOCK	U$D 670		Sony
Consolas	SONY PS5 Slim Lectora de CD + Juego Astro Bot Edition	1TB	-	A CONFIRMAR SEGUN STOCK	U$D 690		Sony
Consolas	SONY PS5 Slim Lec. de CD "Ratcher & Clan: Rift Apart + Returnal Bundle"	1TB	-	A CONFIRMAR SEGUN STOCK	U$D 730		Sony
Consolas	SONY PS5 PRO Digital Edition	2TB	-	A CONFIRMAR SEGUN STOCK	U$D 1000		Sony
Consolas	SONY PS5 Portal Remote Player	-	-	A CONFIRMAR SEGUN STOCK	U$D 400		Sony
Consolas	Joystick Dualsense	-	-	A CONFIRMAR SEGUN STOCK	U$D 150		Sony
Telefono	📱A16 DS	128GB	4GB	Gray	U$D 240		Samsung
Telefono	📱A16 DS	128GB	4GB	Blue, Black. Light Gray,	U$D 260		Samsung
Telefono	📱A26 DS	256GB	8GB	Black	U$D 330		Samsung
Telefono	📱A36 DS	256GB	8GB	Black, Lime, White	U$D 390		Samsung
Telefono	📱A56 DS Graph/Gray	256GB	8GB	Graph, Gray	U$D 460		Samsung
Telefono	📱S24 FE	256GB	8GB	A CONFIRMAR SEGUN STOCK	U$D 600		Samsung
Telefono	📱S24	128GB	8GB	A CONFIRMAR SEGUN STOCK	U$D 660		Samsung
Telefono	📱S24 Ultra	256GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 890		Samsung
Telefono	📱S25 DS Ice Blue	128GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 710		Samsung
Telefono	📱S25	256GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 820		Samsung
Telefono	📱S25 Ultra DS	256GB	12GB	Blue, Gray, Green, Pink	U$D 1040		Samsung
Telefono	📱S25 Ultra DS	512GB	12GB	Black, Blue	U$D 1150		Samsung
Telefono	📱S Z FLIP 7	512GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 1080		Samsung
Tablet	📱Redmi Pad SE 1	128GB	6GB	A CONFIRMAR SEGUN STOCK	U$D 280		Xiaomi
Telefono	📱Poco F6 Pro	512GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 550		Xiaomi
Telefono	📱Note 13 Pro Plus	512GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 430		Xiaomi
Telefono	📱Note 14 Pro Plus	256GB	8GB	A CONFIRMAR SEGUN STOCK	U$D 430		Xiaomi
Telefono	📱Poco X7 Pro	512GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 460		Xiaomi
Telefono	📱Motorola G15	256GB	4GB	A CONFIRMAR SEGUN STOCK	U$D 230		Motorola
Telefono	📱Motorola G55	256GB	8GB	A CONFIRMAR SEGUN STOCK	U$D 280		Motorola
Telefono	📱Motorola G85	256GB	8GB	A CONFIRMAR SEGUN STOCK	U$D 330		Motorola
Telefono	📱Motorola Edge 50 Fusion	256GB	8GB	A CONFIRMAR SEGUN STOCK	U$D 340		Motorola
Telefono	📱Motorola Edge 50 Pro	512GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 560		Motorola
Telefono	📱Motorola Razr 50 Ultra	512GB	12GB	A CONFIRMAR SEGUN STOCK	U$D 810		Motorola
